profile_id,text,voice,fact_order,n_facts,n_checkable,n_missing,missing,leaks,n_words,ok
P00017,"He is a 39-year-old Asian/Asian American male who lives in a household of 3 people in the suburbs of a very large US city in the Midwest. He has a Master's degree/Professional degree and a household income of $168,000 or more. He practices Buddhism and describes his social class as middle class. He is not very strong Democrat and holds moderate, middle of the road political views.",third_person,urbanicity|race|religion|age|gender|region|income|education|social_class|party|household_size|ideology,12,10,0,,,67,True
P00018,"You are a 45-year-old Black / African American male living in the west of the United States in a household of 2 people. You have some college or an Associate's degree and describe yourself as middle class with a household income of $30,000 to $55,999. You are a Protestant with strong religion and describe yourself as born-again or evangelical. Your political views are moderate, middle of the road, and you are politically other party.",second_person,born_again|gender|social_class|religion|religiosity|race|education|age|party|income|region|household_size|ideology,13,10,0,,,74,True
P00019,"He is an 80-year-old White male who lives in a two-person household in the suburbs of a mid-sized US city in the south of the United States. He is a Protestant with a Bachelor's degree and has a household income of $56,000 to $99,999. He is a strong Republican with conservative political views. He describes his social class as middle class.",third_person,race|ideology|income|education|region|urbanicity|gender|household_size|religion|social_class|age|party,12,10,0,,,61,True
P00020,"She is a 42-year-old White female living in the west of the United States. She has a Bachelor's degree and describes her social class as upper class. She lives in a household of 2 people with an income of $168,000 or more. She has no religion and has a great deal of confidence in the scientific community. She is slightly liberal and is not very strong democrat.",third_person,race|trust_science_prior|gender|age|ideology|religion|household_size|party|income|education|region|social_class,12,10,0,,,67,True
P00021,"You are a 21-year-old White female living in the suburbs of a mid-sized US city in the west of the United States. You have a high school diploma or GED, live in a household of 3 people, and have a household income of $168,000 or more. You describe your social class as upper class, and you are a strong democrat with extremely liberal political views. You have no religion and have a great deal of confidence in the scientific community.",second_person,race|urbanicity|education|household_size|age|party|social_class|gender|income|trust_science_prior|religion|region|ideology,13,10,0,,,80,True
P00022,"He is a 71-year-old White/Caucasian Protestant male who lives in a rural area of the Midwest of the United States. He lives in a household of 3 people with a household income of $56,000 to $99,999. He has a Doctorate degree / Ph.D. and describes his social class as middle class. His political views are conservative, though he is not very strong republican.",third_person,gender|household_size|party|income|education|social_class|urbanicity|region|ideology|race|religion|age,12,10,0,,,63,True
P00023,"You are a 23-year-old male of other ethnicity living in a two-person household in a small town in the west of the United States. Your highest education is less than high school, and your household income is $30,000 to $55,999. You describe your social class as middle class and your religion as other. Your political views are moderate, middle of the road, and you are not very strong republican. You have hardly any confidence in the scientific community.",second_person,age|income|gender|urbanicity|household_size|social_class|education|region|party|race|trust_science_prior|religion|ideology,13,10,0,,,78,True
P00024,"You are a 25-year-old Hispanic / Latino female living in one of the largest US cities in the northeast of the United States. You have no religion and describe your social class as middle class. You live in a household of 5 people with an income of $168,000 or more. Your highest education is less than high school, and you have only some confidence in the scientific community. Politically, you are an independent, close to democrat, and your views are extremely liberal.",second_person,trust_science_prior|religion|social_class|gender|urbanicity|ideology|household_size|race|age|region|income|party|education,13,10,0,,,82,True
P00025,"She is a 27-year-old White female living in a small town in the south of the United States. She is lower class with a household income of less than $30,000. She lives in a household of 3 people and her highest education is less than high school. She is Catholic and has moderate, middle of the road, independent political views.",third_person,social_class|urbanicity|ideology|race|income|education|religion|age|household_size|party|gender|region,12,10,0,,,60,True
P00026,"She is a 76-year-old Black female living in the suburbs of a very large US city in the west of the United States. She is a strong Democrat with liberal political views and is Protestant. She has a high school diploma or GED and describes her social class as middle class. She lives alone with a household income of $30,000 to $55,999.",third_person,party|ideology|race|education|urbanicity|household_size|social_class|gender|religion|region|income|age,12,10,0,,,62,True
P00027,"You are a 69-year-old White male living in a small town in the northeast of the United States. You have a Master's degree or Professional degree and a household income of $100,000 to $167,999. You live in a household of 2 people and describe your social class as middle class. You are a strong Democrat with extremely liberal political views and have a great deal of confidence in the scientific community. Your religion is Protestant, but your strength of religion is not very strong.",second_person,race|gender|ideology|urbanicity|income|education|social_class|household_size|region|religiosity|trust_science_prior|party|religion|age,14,11,0,,,84,True
P00028,"She is a 72-year-old White female living in a two-person household in a mid-sized US city in the south of the United States. She is a Protestant and holds a Bachelor's degree. She has a household income of $168,000 or more and describes her social class as upper class. Her political views are liberal, and she is a strong Democrat.",third_person,religion|ideology|party|race|gender|age|social_class|income|education|urbanicity|region|household_size,12,10,0,,,60,True
P00029,"You are a 59-year-old White male living in a household of 3 people in a mid-sized US city in the West. You have some college or an Associate's degree and describe your social class as working class. Your household income is $30,000 to $55,999. You are a strong Protestant and have only some confidence in the scientific community. Politically, you are an independent, close to republican, and your views are moderate and middle of the road.",second_person,age|urbanicity|social_class|party|gender|race|ideology|education|religion|income|religiosity|trust_science_prior|household_size|region,14,11,0,,,76,True
P00030,"You are a 59-year-old Hispanic / Latino male living in a small town in the south of the United States. You live in a household of 2 people with a household income of $56,000 to $99,999. You have a high school diploma / GED and describe yourself as working class. You are an independent, moderate, middle of the road person who is close to democrat. You are a christian who describes yourself as born-again or evangelical, though your religion is not very strong.",second_person,religion|household_size|religiosity|income|region|party|race|education|gender|ideology|social_class|born_again|age|urbanicity,14,11,0,,,83,True
P00031,"He is a 69-year-old White male living in a small town in the Midwest of the United States. He is working class with a household income of less than $30,000 and lives in a household of 2 people. He has some college or an Associate's degree and has no religion. He is an independent who is close to Democrat and is extremely liberal. He has a great deal of confidence in the scientific community.",third_person,social_class|ideology|urbanicity|household_size|gender|income|education|region|age|trust_science_prior|race|party|religion,13,10,0,,,74,True
P00032,"You are a 51-year-old White / Caucasian male living in a household of 2 people in the midwest of the United States. You have some college or an Associate's degree and a household income of $100,000 to $167,999. You describe your social class as middle class. You are independent with slightly liberal political views. Your religion is other and your strength of religion is somewhat strong (vol.).",second_person,region|ideology|religiosity|education|party|household_size|age|religion|income|gender|race|social_class,12,10,0,,,67,True
P00033,"You are a 47-year-old White male living in the south of the United States in a household of 2 people. You are a Protestant with a Bachelor's degree and a middle class social class. Your income is $100,000 to $167,999. Politically, you are an independent, close to republican, and your views are moderate and middle of the road. You have only some confidence in the scientific community.",second_person,ideology|trust_science_prior|race|party|education|age|religion|gender|income|household_size|social_class|region,12,11,0,,,67,True
P00034,"You are a 48-year-old White female living in the west of the United States. You live in a household of 2 people with an income of $56,000 to $99,999. You describe yourself as working class and hold a Master's degree or Professional degree. You are a Protestant with moderate, middle of the road political views as an independent. You have only some confidence in the scientific community.",second_person,region|social_class|education|household_size|age|religion|party|race|gender|income|ideology|trust_science_prior,12,11,0,,,67,True
P00035,"He is a 51-year-old White male who lives alone in one of the largest US cities in the northeast of the United States. He has a Master's degree or Professional degree and a household income of $168,000 or more. He is an independent with liberal political views and has no religion. He describes his social class as middle class and has a great deal of confidence in the scientific community.",third_person,urbanicity|region|gender|age|household_size|education|ideology|trust_science_prior|income|religion|race|social_class|party,13,10,0,,,70,True
P00036,"You are a 30-year-old White female living in a two-person household in the suburbs of a mid-sized US city in the northeast of the United States. You have a Bachelor's degree, a household income of $30,000 to $55,999, and describe yourself as working class. You are a Protestant with slightly liberal political views, though you are not a very strong Democrat. You have only some confidence in the scientific community.",second_person,region|party|social_class|household_size|age|education|ideology|urbanicity|religion|race|gender|trust_science_prior|income,13,11,0,,,70,True
P00037,"He is a 45-year-old Hispanic / Latino male who lives alone in one of the largest US cities in the northeast of the United States. He has less than a high school education and describes his social class as working class. His household income is $56,000 to $99,999, and he has no religion. He is an independent who is close to Democrat and has moderate, middle of the road political views. He has only some confidence in the scientific community.",third_person,household_size|ideology|urbanicity|income|religion|gender|trust_science_prior|party|region|social_class|age|race|education,13,10,0,,,80,True
P00038,"She is a 62-year-old Hispanic / Latino female who lives alone in the suburbs of a very large US city in the south of the United States. She is a Catholic with a Bachelor's degree and describes her social class as working class. She has a household income of $30,000 to $55,999. She is a strong Republican with conservative political views and has only some confidence in the scientific community.",third_person,trust_science_prior|gender|social_class|party|region|education|ideology|religion|household_size|age|race|urbanicity|income,13,11,0,,,70,True
P00039,"You are a 35-year-old female of other ethnicity living in a rural area of the Midwest of the United States. You live in a household of 3 people and have a household income of less than $30,000. You have a high school diploma / GED and describe your social class as middle class. Your political views are conservative, and you are not very strong democrat. You are a protestant, though your strength of religion is not very strong. You have a great deal of confidence in the scientific community.",second_person,ideology|household_size|party|region|urbanicity|religiosity|trust_science_prior|social_class|education|gender|race|income|religion|age,14,10,0,,,89,True
P00040,"You are a 55-year-old White/Caucasian male living alone in the suburbs of a mid-sized US city in the Midwest. You have a high school diploma or GED and a household income of $56,000 to $99,999. You describe yourself as middle class and as a born-again or evangelical Protestant, though your religion is not very strong. You are a strong Republican with conservative political views and have only some confidence in the scientific community.",second_person,education|income|trust_science_prior|age|household_size|social_class|urbanicity|party|religiosity|ideology|born_again|region|religion|race|gender,15,12,0,,,73,True
P00041,"You are a 19-year-old White / Caucasian female living in the suburbs of a very large US city in the northeast of the United States. You are Jewish and have a Master's degree / Professional degree. You live in a household of 7 people with a household income of $168,000 or more, and you describe your social class as middle class. Your political views are conservative, though you are not very strong republican. You have a great deal of confidence in the scientific community.",second_person,party|region|gender|income|household_size|social_class|race|religion|ideology|urbanicity|age|education|trust_science_prior,13,11,0,,,84,True
P00042,"You are a 46-year-old Hispanic / Latino female living in the west of the United States. You live in a household of 6 people and have a household income of less than $30,000. You describe your social class as lower class and have an education level of less than high school. You are Catholic, though your religion is not very strong. You are an extremely liberal independent with only some confidence in the scientific community.",second_person,race|religion|social_class|age|region|household_size|religiosity|education|gender|ideology|trust_science_prior|income|party,13,11,0,,,75,True
P00043,"You are a 33-year-old White/Caucasian female living in a household of 2 people in a mid-sized US city in the west of the United States. You have a Bachelor's degree and a household income of $168,000 or more. You describe yourself as middle class and have no religion. Your political views are liberal, but you are not very strong democrat. You have only some confidence in the scientific community.",second_person,household_size|urbanicity|gender|ideology|income|social_class|party|trust_science_prior|education|region|religion|race|age,13,10,0,,,69,True
P00044,"You are a 42-year-old White male living in a small town in the south of the United States. You have a Master's degree or Professional degree and describe your social class as working class. You live in a household of 3 people with a household income of $30,000 to $55,999. You are a strong Democrat with extremely liberal political views and have no religion. You have a great deal of confidence in the scientific community.",second_person,party|gender|race|social_class|education|religion|urbanicity|region|age|trust_science_prior|income|household_size|ideology,13,10,0,,,75,True
P00045,"You are a 27-year-old White male living in a two-person household in a mid-sized city in the South of the United States. You describe yourself as working class and have some college or an Associate's degree. Your Protestant faith is somewhat strong, and you describe yourself as born-again or evangelical. You have a household income of $30,000 to $55,999 and only some confidence in the scientific community. Politically, you are an independent, close to Republican, and hold moderate, middle of the road views.",second_person,born_again|age|education|social_class|race|urbanicity|trust_science_prior|income|religion|ideology|gender|region|household_size|religiosity|party,15,12,0,,,83,True
P00046,"She is a 47-year-old White female living in a rural area in the south of the United States. She is a Protestant who describes her social class as working class. She has a high school diploma or GED, lives in a household of 2 people, and has a household income of $56,000 to $99,999. She is a strong Republican with extremely conservative political views. She has only some confidence in the scientific community.",third_person,age|social_class|religion|education|household_size|gender|urbanicity|race|income|ideology|region|trust_science_prior|party,13,11,0,,,73,True
P00047,"You are a 74-year-old White/Caucasian female living in the west of the United States in a household of 2 people. You have a Doctorate degree / Ph.D. and a household income of $168,000 or more. You describe yourself as middle class. You are a Protestant with strong religion and describe yourself as born-again or evangelical. You are an independent with slightly liberal political views.",second_person,income|religion|born_again|education|age|gender|household_size|ideology|social_class|region|religiosity|party|race,13,11,0,,,64,True
P00048,"You are a 33-year-old White female living in the west of the United States in a household of 4 people. You have a Bachelor's degree and a household income of $168,000 or more. You are a strong Protestant and describe your social class as middle class. Your political views are moderate and middle of the road, as an independent who is close to Democrat. You have a great deal of confidence in the scientific community.",second_person,race|household_size|age|religion|income|social_class|party|trust_science_prior|gender|region|religiosity|ideology|education,13,11,0,,,75,True
P00049,"She is a 42-year-old White female living in the south of the United States. She lives in a household of 2 people and has a household income of $56,000 to $99,999. She describes herself as working class and describes herself as born-again or evangelical. She is a Protestant with some college or an Associate's degree. Her political views are slightly conservative and she is independent.",third_person,gender|age|region|race|social_class|income|ideology|born_again|religion|party|education|household_size,12,11,0,,,65,True
P00050,"She is a 19-year-old White female who lives in a rural area in the south of the United States. She is a born-again or evangelical Protestant and describes herself as lower class. She has a high school diploma or GED and lives in a household of 5 people with an income of $30,000 to $55,999. Her political views are slightly liberal, though she is independent. She has only some confidence in the scientific community.",third_person,region|social_class|age|trust_science_prior|urbanicity|income|education|ideology|born_again|race|party|household_size|gender|religion,14,12,0,,,74,True
P00051,"He is a 34-year-old White male who lives in a household of 3 people in a small town in the midwest of the United States. He has a Bachelor's degree, has no religion, and describes his social class as middle class. He earns a household income of $100,000 to $167,999. He is a strong Democrat with liberal political views and has a great deal of confidence in the scientific community.",third_person,urbanicity|party|education|race|gender|age|religion|social_class|trust_science_prior|ideology|household_size|income|region,13,10,0,,,70,True
P00052,"You are a 42-year-old Hispanic / Latino female living in the Midwest of the United States in a household of 3 people. You have an Associate's degree or some college, earn a household income of $30,000 to $55,999, and describe yourself as working class. You are a moderate, middle of the road independent who has only some confidence in the scientific community. Although you are a Protestant who describes yourself as born-again or evangelical, your strength of religion is not very strong.",second_person,religiosity|household_size|trust_science_prior|age|education|party|gender|income|born_again|ideology|race|region|religion|social_class,14,12,0,,,82,True
P00053,"You are a 39-year-old, White/Caucasian male living in a household of 3 people in a small town in the south of the United States. You are working class with a high school diploma / GED and a household income of $30,000 to $55,999. You are a strong, born-again or evangelical Protestant. Your political views are conservative, and you are not very strong republican.",second_person,social_class|born_again|gender|urbanicity|income|race|religion|region|religiosity|party|ideology|education|age|household_size,14,11,0,,,63,True
P00054,"You are a 29-year-old White female living in the south of the United States in a household of 5 people. You have a high school diploma / GED and describe your social class as working class. Your household income is $56,000 to $99,999. You are an independent with moderate, middle of the road political views. You are Catholic, though your religion is not very strong.",second_person,religion|race|region|social_class|age|income|education|religiosity|ideology|household_size|gender|party,12,10,0,,,65,True
P00055,"He is a 55-year-old White male who lives in a small town in the west of the United States. He is a strong Republican with conservative political views and has a Bachelor's degree. He describes himself as middle class and lives in a household of 2 people with an income of $168,000 or more. He is a strong Protestant who describes himself as born-again or evangelical. He has only some confidence in the scientific community.",third_person,race|ideology|region|religion|trust_science_prior|religiosity|household_size|income|party|age|urbanicity|born_again|gender|education|social_class,15,12,0,,,75,True
P00056,"He is a 48-year-old White male who lives in the south of the United States in a household of 3 people. He describes himself as middle class and has a household income of $100,000 to $167,999. He is a Protestant who describes himself as born-again or evangelical. He has some college or an Associate's degree. Politically, he is an independent, close to Democrat, with moderate, middle of the road views.",third_person,household_size|social_class|gender|born_again|region|age|religion|ideology|race|party|income|education,12,11,0,,,70,True
P00057,"She is a 27-year-old Hispanic / Latino female who lives in a household of 5 people in one of the largest US cities in the south of the United States. She is a liberal, independent, working class woman with a household income of less than $30,000 and an education level of less than high school. She is a Catholic with a religion that is not very strong, though she describes herself as born-again or evangelical. She has a great deal of confidence in the scientific community.",third_person,party|age|region|born_again|religion|education|religiosity|trust_science_prior|urbanicity|ideology|gender|social_class|income|race|household_size,15,12,0,,,86,True
P00058,"You are a white, 88-year-old female living alone in a rural area of the Midwest of the United States. You are a strong Democrat with moderate, middle of the road political views. A Protestant, you have a high school diploma or GED and describe your social class as working class. Your household income is less than $30,000.",second_person,party|education|race|ideology|region|household_size|social_class|age|income|religion|urbanicity|gender,12,10,0,,,57,True
P00059,"He is a 20-year-old Black / African American male who lives in a household of 2 people in the suburbs of a mid-sized US city in the west of the United States. He has a high school diploma / GED, a household income of $30,000 to $55,999, and describes his social class as middle class. His religion is buddhism, which is somewhat strong, and he has a great deal of confidence in the scientific community. He is politically independent with moderate, middle of the road views.",third_person,religiosity|race|urbanicity|education|party|income|social_class|household_size|trust_science_prior|religion|region|age|ideology|gender,14,11,0,,,86,True
P00060,"You are a 73-year-old White female living in the south of the United States in a household of 4 people. You are working class with a high school diploma / GED and a household income of $30,000 to $55,999. You are a strong Protestant who describes yourself as born-again or evangelical, and your religion is strong. Politically, you are a strong republican and extremely conservative.",second_person,social_class|ideology|party|race|religion|income|education|region|born_again|gender|religiosity|age|household_size,13,11,0,,,65,True
P00061,"You are a 47-year-old Black / African American female living in the south of the United States. You have a high school diploma / GED and live in a household of 4 people with a household income of less than $30,000. You are a strong protestant and describe your social class as lower class. Politically, you are a conservative and not very strong democrat.",second_person,religiosity|party|region|income|race|gender|age|education|household_size|ideology|religion|social_class,12,10,0,,,64,True
P00062,"She is a 27-year-old White/Caucasian female who lives in a two-person household in the suburbs of a mid-sized US city in the northeast of the United States. She is a Catholic with a Bachelor's degree and describes her social class as middle class. Her household income is $30,000 to $55,999. Politically, she is an independent who is slightly liberal and close to democrat. She has hardly any confidence in the scientific community.",third_person,gender|household_size|religion|ideology|education|party|trust_science_prior|race|social_class|income|urbanicity|age|region,13,11,0,,,72,True
P00063,"You are a 37-year-old Black / African American female who lives in a household of 4 people in a small town in the south of the United States. You are a working class, born-again or evangelical Protestant with some college or an Associate's degree and a household income of $30,000 to $55,999. You are a strong Democrat with moderate, middle of the road political views. You have only some confidence in the scientific community.",second_person,urbanicity|religion|ideology|party|region|education|race|age|trust_science_prior|household_size|born_again|social_class|gender|income,14,12,0,,,74,True
P00064,"She is a 26-year-old White female living in one of the largest US cities in the west of the United States. She is a strong Protestant and has only some confidence in the scientific community. She describes her social class as middle class and has some college or an Associate's degree. She lives in a household of 6 people with an income of $56,000 to $99,999. Her political views are conservative, though she is not very strong republican.",third_person,race|religiosity|ideology|age|urbanicity|social_class|education|household_size|trust_science_prior|gender|income|religion|region|party,14,11,0,,,78,True
P00065,"He is a 23-year-old Hispanic / Latino male who lives in one of the largest US cities in the west of the United States. He lives in a household of 4 people with a household income of $56,000 to $99,999. He has some college or an Associate's degree and describes his social class as lower class. His religion is Catholic and is somewhat strong (vol.). He is politically independent and has moderate, middle of the road views.",third_person,gender|race|income|region|household_size|religiosity|ideology|education|age|religion|social_class|urbanicity|party,13,10,0,,,77,True
P00066,"He is a 42-year-old Black / African American male who lives in a household of 3 people in a mid-sized US city in the south of the United States. He is a working class, Protestant, born-again or evangelical person with a high school diploma / GED and a household income of $30,000 to $55,999. Politically, he is independent and has moderate, middle of the road views. He has a great deal of confidence in the scientific community.",third_person,urbanicity|ideology|party|age|race|born_again|income|region|gender|social_class|education|household_size|religion|trust_science_prior,14,12,0,,,77,True
P00067,"He is a 42-year-old Hispanic / Latino male who lives in a household of 5 people in one of the largest US cities in the northeast of the United States. He describes himself as working class and has some college or an Associate's degree. He is a somewhat strong Protestant who describes himself as born-again or evangelical. He has a household income of $30,000 to $55,999 and has only some confidence in the scientific community. His political views are moderate, middle of the road, and he is an independent, close to Democrat.",third_person,gender|region|age|race|income|religion|religiosity|urbanicity|born_again|trust_science_prior|social_class|education|household_size|ideology|party,15,12,0,,,92,True
P00068,"You are a 48-year-old Hispanic / Latino male living in a small town in the south of the United States. You have a Bachelor's degree and are a Protestant. You live in a household of 4 people with an income of $56,000 to $99,999. You describe yourself as middle class. Your political views are conservative, though you are not very strong republican.",second_person,education|party|gender|age|household_size|income|religion|race|urbanicity|ideology|region|social_class,12,10,0,,,62,True
P00069,"She is a 53-year-old White female living in a two-person household in the Midwest of the United States. She has a high school diploma or GED and describes her social class as middle class. Her household income is $56,000 to $99,999, and she is Protestant. She has only some confidence in the scientific community. Her moderate, middle of the road political views make her a not very strong Republican.",third_person,gender|income|race|religion|education|age|trust_science_prior|social_class|party|ideology|household_size|region,12,11,0,,,69,True
P00070,"You are a 40-year-old White male living alone in a mid-sized US city in the Midwest. You have some college or an Associate's degree and a household income of $100,000 to $167,999. You describe yourself as middle class, have no religion, and are a strong Republican with conservative political views. You have only some confidence in the scientific community.",second_person,race|income|party|social_class|urbanicity|gender|age|ideology|region|household_size|education|trust_science_prior|religion,13,10,0,,,59,True
P00071,"He is a 53-year-old Black / African American male and a Protestant. He lives in a household of 5 people in the suburbs of a very large US city in the west of the United States. He has a Master's degree / Professional degree and describes his social class as middle class. His household income is $168,000 or more. He is a moderate, middle of the road independent who is close to democrat.",third_person,religion|race|social_class|education|gender|ideology|party|age|urbanicity|income|region|household_size,12,10,0,,,73,True
P00072,"She is a 54-year-old White female living in a small town in the west of the United States. She is a Christian who describes herself as born-again or evangelical. She has some college or an Associate's degree and lives in a household of 4 people with an income of $168,000 or more. She describes her social class as middle class. Her political views are moderate and middle of the road, and she is not very strong republican. She has only some confidence in the scientific community.",third_person,race|gender|region|ideology|born_again|party|income|household_size|social_class|urbanicity|education|religion|age|trust_science_prior,14,12,0,,,86,True
P00073,"He is a 59-year-old White/Caucasian male living in the south of the United States in a household of 2 people. He has a high school diploma / GED and a household income of $30,000 to $55,999. He describes his social class as working class. He is a strong Republican with conservative political views. He is a strong Protestant who describes himself as born-again or evangelical. He has only some confidence in the scientific community.",third_person,income|social_class|trust_science_prior|religiosity|born_again|region|gender|household_size|religion|party|age|education|ideology|race,14,12,0,,,74,True
P00074,"You are a 48-year-old Hispanic / Latino male living in the south of the United States in a household of 2 people. Your household income is less than $30,000 and your highest education is less than high school. You are a protestant with a religion that is not very strong. You are conservative and not very strong democrat. You describe your social class as middle class.",second_person,household_size|gender|income|religiosity|age|race|religion|party|social_class|region|education|ideology,12,10,0,,,66,True
P00075,"She is a 25-year-old Black / African American female who lives in a household of 2 people in the west of the United States. She has a Bachelor's degree, a household income of $30,000 to $55,999, and describes her social class as working class. She is politically moderate, middle of the road, and an independent. She describes herself as born-again or evangelical, but she has no religion. She has only some confidence in the scientific community.",third_person,region|ideology|education|income|race|party|age|social_class|trust_science_prior|gender|born_again|religion|household_size,13,11,0,,,76,True
